"ensembl_id","logFC","adj.P.Val"
"ENSG00000101255",3.31864479161175,4.18013921933895e-10
"ENSG00000163735",3.30970474990055,1.00137131512322e-05
"ENSG00000133048",3.28001611766858,5.05802238076107e-06
"ENSG00000270372",3.26729337501055,0.00151704994478726
"ENSG00000105219",3.26264925327819,1.87234854957902e-08
"ENSG00000196260",3.24546859228502,1.99542563034133e-06
"ENSG00000224269",3.22099977920752,4.8428869780731e-08
"ENSG00000186007",3.20850657572527,8.64572377814978e-07
"ENSG00000005001",3.20162814578826,2.41325092552361e-05
"ENSG00000273604",3.17596795749969,7.9019938011656e-10
"ENSG00000099985",3.14284826067541,2.39729041478687e-06
"ENSG00000198535",3.13131264883003,1.02409938237899e-05
"ENSG00000106483",3.12975055396754,6.68056775519892e-07
"ENSG00000165905",3.10890927971959,1.52618708726502e-07
"ENSG00000159263",3.10633960886287,6.74196847378337e-09
"ENSG00000166670",3.10363299628677,6.74354659183558e-07
"ENSG00000113739",3.10131413848006,2.41954377337246e-07
"ENSG00000169174",3.08598144452514,1.99542563034133e-06
"ENSG00000170369",3.08264876737062,2.09606994726957e-09
"ENSG00000230061",3.07169258753179,3.92168619177381e-06
"ENSG00000247844",3.03745372525407,7.53234908791656e-08
"ENSG00000206075",3.00368943917577,3.57856705871623e-07
"ENSG00000137699",2.97464255753779,4.5386787172923e-07
"ENSG00000236081",2.97324380999893,3.88479058384935e-05
"ENSG00000196711",2.95797337720095,1.20015351865709e-07
"ENSG00000173894",2.93542106002535,8.29839533642937e-10
"ENSG00000276104",2.92110926730731,0.000482649013654214
"ENSG00000163734",2.90047178659582,4.67985329281677e-07
"ENSG00000276737",2.87411152855034,0.000466134926219708
"ENSG00000232445",2.87341555178854,2.20020636080941e-07
"ENSG00000262406",2.86560695946565,1.74729054991266e-06
"ENSG00000259485",2.85625243990181,1.08832644419208e-05
"ENSG00000203805",2.84892617477402,4.10814210481026e-06
"ENSG00000160862",2.80882084800105,2.19487453198907e-06
"ENSG00000240204",2.80278594674443,4.97839538280875e-08
"ENSG00000131746",2.78748275256965,3.82331053549344e-06
"ENSG00000106366",2.7812558077127,4.06042518705491e-07
"ENSG00000140274",2.77342307828186,0.000107595552373464
"ENSG00000183844",2.76989053156417,0.00268412993712216
"ENSG00000182747",2.76873439139732,5.78583927121653e-05
"ENSG00000204335",2.75363627248191,1.28622071489725e-05
"ENSG00000101144",2.74236846350306,5.65522822394315e-09
"ENSG00000125538",2.72931098099857,2.28804777926128e-05
"ENSG00000146477",2.72485064257387,5.85471497998377e-08
"ENSG00000101187",2.71558489603552,1.88677691427205e-10
"ENSG00000179431",2.70600039781931,1.93751518235793e-09
"ENSG00000198759",2.68244662484326,3.05990889597482e-08
"ENSG00000163817",2.67676703483495,6.8714722618642e-07
"ENSG00000078098",2.67668997547823,8.3882413074014e-07
"ENSG00000108821",2.67348634519758,1.13805632183237e-07
"ENSG00000103257",2.67304744043942,9.79749217674675e-08
"ENSG00000186340",2.66960725132466,2.67375623433984e-05
"ENSG00000186193",2.65794320690291,2.68307489410804e-08
"ENSG00000179546",2.65667464916429,1.43779850048231e-05
"ENSG00000134013",2.6524162809739,8.17661339037953e-08
"ENSG00000050344",2.63566554245463,8.30489078155601e-10
"ENSG00000275216",2.62944704624488,0.000842402551588974
"ENSG00000172927",2.62654603910683,3.80580751873681e-06
"ENSG00000254166",2.61992310061148,4.05682104560479e-06
"ENSG00000207973",2.61557691820269,7.33185961902946e-07
"ENSG00000163739",2.60912268902233,1.74669080881897e-06
"ENSG00000260877",2.60625209578697,0.000317133483599616
"ENSG00000062282",2.58484307994725,8.40051866364216e-10
"ENSG00000140807",2.58464925304959,1.99542563034133e-06
"ENSG00000169248",2.58188205534004,1.17110231912581e-07
"ENSG00000143333",2.5785570467288,4.49778411066567e-09
"ENSG00000108342",2.57574211912049,0.00056396538216402
"ENSG00000131188",2.56686503042978,4.0085411229007e-07
"ENSG00000197905",2.56652812124835,1.22989664198094e-08
"ENSG00000164694",2.56085832461099,3.0473193027023e-05
"ENSG00000137573",2.55493498252534,7.39044547958765e-08
"ENSG00000124216",2.55340405371878,1.9518702539125e-08
"ENSG00000081277",2.5262166050352,2.25011310851498e-06
"ENSG00000183734",2.52260755073607,2.65362094163009e-05
"ENSG00000120708",2.52255197656247,4.40887048279832e-09
"ENSG00000204876",2.52248646879721,4.06038630819112e-05
"ENSG00000162073",2.52122755953921,8.42619479031476e-10
"ENSG00000095752",2.50956025790132,8.17114891011037e-06
"ENSG00000258919",2.50870901534487,5.40120586147921e-07
"ENSG00000152669",2.50769202048861,1.76645045274692e-07
"ENSG00000111799",2.49063192237607,2.37972264801082e-06
"ENSG00000270460",2.4763298663699,5.53738297310891e-06
"ENSG00000117122",2.47361707882031,4.57483091521871e-08
"ENSG00000011426",2.47055201060587,6.81690389187134e-09
"ENSG00000201512",2.45784436980119,5.61348313734302e-05
"ENSG00000129474",2.45765510701235,8.71781740274658e-10
"ENSG00000144810",2.4575177580305,1.0724575739726e-06
"ENSG00000145506",2.45146381639277,1.0851306927059e-05
"ENSG00000165816",2.44841889349696,7.50008834017362e-06
"ENSG00000163736",2.44757366703841,0.000580139299686556
"ENSG00000081041",2.44689591716763,6.11907455592032e-06
"ENSG00000115363",2.43954888303346,1.80853059143084e-08
"ENSG00000203499",2.43947757627913,6.16379127434925e-10
"ENSG00000275783",2.4328890682718,0.0116976510775654
"ENSG00000275896",2.4285031173083,0.0121763486776021
"ENSG00000189366",2.42530746212453,2.24906190667007e-06
"ENSG00000071539",2.40596558449671,2.59037245302472e-11
"ENSG00000123610",2.4030133511169,1.40151981118104e-05
"ENSG00000135069",2.38877356974782,1.74733571242052e-06
"ENSG00000182782",2.38805271271308,8.10099045474374e-05
"ENSG00000131389",2.38233623606982,1.5335715008051e-06
"ENSG00000276023",2.38048270810626,8.29839533642937e-10
